Name,Brand,QR,Image
Lithium M12 2.0 AH,Milwaukee,https://www.youtube.com/watch?v=6hC1AqEkJYQ,Milwaukee Lithium M12 CP2.0 AH.png
Lithium M18 3.0 AH,Milwaukee,https://www.youtube.com/watch?v=GxIC3tmqX1w,Milwaukee Lithium M18 3.0 AH.png
Lithium M18 8.0 AH,Milwaukee,https://www.youtube.com/watch?v=rPi7Tq8nj2g,Milwaukee Lithium M18 8.0 AH.png
4-1/2" Grinder,Milwaukee,https://www.youtube.com/watch?v=cM-92EhgrEM,Milwaukee Grinder.png
1/2" Bandfile,Milwaukee,https://www.youtube.com/watch?v=vMFALer4wqQ,Milwaukee Bandfile.png
Hole Hawg,Milwaukee,https://www.youtube.com/watch?v=ufjAUrzdUCI,Milwaukee Hole Hawg.png
Cut Off Tool,Milwaukee,https://www.youtube.com/watch?v=MOR5chabQ1o,Milwaukee Cut Off Tool.png
Metal Chalk Line,Milwaukee,https://www.youtube.com/watch?v=vGQwtfynSZk,Milwaukee Metal Chalk Line.png
Oscillating Multi-tool,Milwaukee,https://www.youtube.com/watch?v=uILBvWrV_ts,Milwaukee Oscillating Multi-tool.png
Impact Driver,Milwaukee,https://www.youtube.com/watch?v=CSFDUOUPor0,Milwaukee Impact Driver.png
Mud Mixer,Milwaukee,https://www.youtube.com/watch?v=eUreb9IiACA,Milwaukee Mud Mixer.png
Drill Driver,Milwaukee,https://www.youtube.com/watch?v=VxuK57GM_Ek,Milwaukee Drill Driver.png
Detail Sander,Milwaukee,https://www.youtube.com/watch?v=7iddgjytggA,Milwaukee Detail Sander.png
Packout Wet/Dry Vacuum,Milwaukee,https://www.youtube.com/watch?v=s2ZjOe-aOB4,Milwaukee Packout Gallon Wet_Dry Vacuum.png
3-IN-1 Backpack Vacuum,Milwaukee,https://www.youtube.com/watch?v=sUyJu9LaPPk,Milwaukee Fuel 3-in-1 Backpack Vacuum.png
Double Heat Gun,Milwaukee,https://www.youtube.com/watch?v=UUjy9ow_U9A,Milwaukee Double Heat Gun.png
Compact Heat Gun,Milwaukee,https://www.youtube.com/watch?v=kC4OD1C2nqg,Milwaukee Compact Heat Gun.png
Random Orbit Sander,Milwaukee,https://www.youtube.com/watch?v=XpTiW3i3B4E,Milwaukee Random Orbit Sander.png
Inspection Camera,Milwaukee,https://www.youtube.com/watch?v=k3uYbScdh6s,Milwaukee M-Spector 360 Inspection Camera.png
Super Hawg,Milwaukee,https://www.youtube.com/watch?v=SV-vhWFRm8U,Milwaukee Super Hawg.png
16GA Nibbler,Milwaukee,https://www.youtube.com/watch?v=AQejU_M_B94,Milwaukee Nibbler.png
2" Die Grinder,Milwaukee,https://www.youtube.com/watch?v=qiuBSa_mAok,Milwaukee Die Grinder.png
Copper Tubing Cutter,Milwaukee,https://www.youtube.com/watch?v=NYV8yIQ9AV0,Milwaukee Copper Tubing Cutter.png
LED Search Light,Milwaukee,https://www.youtube.com/watch?v=IXvXCHZEwag,Milwaukee Led Search Light.png
Plastic Pipe Shear,Milwaukee,https://www.youtube.com/watch?v=c0NIG7VHs0o,Milwaukee Plastic Pipe Shear.png
Cable Stapler,Milwaukee,https://www.youtube.com/watch?v=_K_Hskqk8gg,Milwaukee Cable Stapler.png
Transfer Pump,Milwaukee,https://www.youtube.com/watch?v=JDeOhUV-Of4,Milwaukee Transfer Pump.png
